Date,Country_Region,Difference,Case_Type,Cases,Lat,Long
2020-03-09,India,0,Deaths,0,21.0,78.0
2020-03-08,India,0,Deaths,0,21.0,78.0
2020-03-07,India,0,Deaths,0,21.0,78.0
2020-03-06,India,0,Deaths,0,21.0,78.0
2020-03-05,India,0,Deaths,0,21.0,78.0
2020-03-04,India,0,Deaths,0,21.0,78.0
2020-03-03,India,0,Deaths,0,21.0,78.0
2020-03-23,India,3,Deaths,10,21.0,78.0
2020-03-22,India,3,Deaths,7,21.0,78.0
2020-03-21,India,-1,Deaths,4,21.0,78.0
2020-03-20,India,1,Deaths,5,21.0,78.0
2020-03-02,India,0,Deaths,0,21.0,78.0
2020-03-19,India,1,Deaths,4,21.0,78.0
2020-03-18,India,0,Deaths,3,21.0,78.0
2020-03-17,India,1,Deaths,3,21.0,78.0
2020-03-16,India,0,Deaths,2,21.0,78.0
2020-03-15,India,0,Deaths,2,21.0,78.0
2020-03-14,India,0,Deaths,2,21.0,78.0
2020-03-13,India,1,Deaths,2,21.0,78.0
2020-03-12,India,0,Deaths,1,21.0,78.0
2020-03-11,India,1,Deaths,1,21.0,78.0
2020-03-10,India,0,Deaths,0,21.0,78.0
2020-03-01,India,0,Deaths,0,21.0,78.0
2020-02-09,India,0,Deaths,0,21.0,78.0
2020-02-08,India,0,Deaths,0,21.0,78.0
2020-02-07,India,0,Deaths,0,21.0,78.0
2020-02-06,India,0,Deaths,0,21.0,78.0
2020-02-05,India,0,Deaths,0,21.0,78.0
2020-02-04,India,0,Deaths,0,21.0,78.0
2020-02-03,India,0,Deaths,0,21.0,78.0
2020-02-29,India,0,Deaths,0,21.0,78.0
2020-02-28,India,0,Deaths,0,21.0,78.0
2020-02-27,India,0,Deaths,0,21.0,78.0
2020-02-26,India,0,Deaths,0,21.0,78.0
2020-02-25,India,0,Deaths,0,21.0,78.0
2020-02-24,India,0,Deaths,0,21.0,78.0
2020-02-23,India,0,Deaths,0,21.0,78.0
2020-02-22,India,0,Deaths,0,21.0,78.0
2020-02-21,India,0,Deaths,0,21.0,78.0
2020-02-20,India,0,Deaths,0,21.0,78.0
2020-02-02,India,0,Deaths,0,21.0,78.0
2020-02-19,India,0,Deaths,0,21.0,78.0
2020-02-18,India,0,Deaths,0,21.0,78.0
2020-02-17,India,0,Deaths,0,21.0,78.0
2020-02-16,India,0,Deaths,0,21.0,78.0
2020-02-15,India,0,Deaths,0,21.0,78.0
2020-02-14,India,0,Deaths,0,21.0,78.0
2020-02-13,India,0,Deaths,0,21.0,78.0
2020-02-12,India,0,Deaths,0,21.0,78.0
2020-02-11,India,0,Deaths,0,21.0,78.0
2020-02-10,India,0,Deaths,0,21.0,78.0
2020-02-01,India,0,Deaths,0,21.0,78.0
2020-01-31,India,0,Deaths,0,21.0,78.0
2020-01-30,India,0,Deaths,0,21.0,78.0
2020-01-29,India,0,Deaths,0,21.0,78.0
2020-01-28,India,0,Deaths,0,21.0,78.0
2020-01-27,India,0,Deaths,0,21.0,78.0
2020-01-26,India,0,Deaths,0,21.0,78.0
2020-01-25,India,0,Deaths,0,21.0,78.0
2020-01-24,India,0,Deaths,0,21.0,78.0
2020-01-23,India,0,Deaths,0,21.0,78.0
2020-03-09,India,4,Confirmed,43,21.0,78.0
2020-03-08,India,5,Confirmed,39,21.0,78.0
2020-03-07,India,3,Confirmed,34,21.0,78.0
2020-03-06,India,1,Confirmed,31,21.0,78.0
2020-03-05,India,2,Confirmed,30,21.0,78.0
2020-03-04,India,23,Confirmed,28,21.0,78.0
2020-03-03,India,0,Confirmed,5,21.0,78.0
2020-03-23,India,103,Confirmed,499,21.0,78.0
2020-03-22,India,66,Confirmed,396,21.0,78.0
2020-03-21,India,86,Confirmed,330,21.0,78.0
2020-03-20,India,50,Confirmed,244,21.0,78.0
2020-03-02,India,2,Confirmed,5,21.0,78.0
2020-03-19,India,38,Confirmed,194,21.0,78.0
2020-03-18,India,14,Confirmed,156,21.0,78.0
2020-03-17,India,23,Confirmed,142,21.0,78.0
2020-03-16,India,6,Confirmed,119,21.0,78.0
2020-03-15,India,11,Confirmed,113,21.0,78.0
2020-03-14,India,20,Confirmed,102,21.0,78.0
2020-03-13,India,9,Confirmed,82,21.0,78.0
2020-03-12,India,11,Confirmed,73,21.0,78.0
2020-03-11,India,6,Confirmed,62,21.0,78.0
2020-03-10,India,13,Confirmed,56,21.0,78.0
2020-03-01,India,0,Confirmed,3,21.0,78.0
