year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
2014,12,8,658.0,-7.0,935.0,-5.0,VX,N846VA,1780,SEA,LAX,132.0,954,6.0,58.0
2014,1,22,1040.0,5.0,1505.0,5.0,AS,N559AS,851,SEA,HNL,360.0,2677,10.0,40.0
2014,3,9,1443.0,-2.0,1652.0,2.0,VX,N847VA,755,SEA,SFO,111.0,679,14.0,43.0
2014,4,9,1705.0,45.0,1839.0,34.0,WN,N360SW,344,PDX,SJC,83.0,569,17.0,5.0
2014,3,9,754.0,-1.0,1015.0,1.0,AS,N612AS,522,SEA,BUR,127.0,937,7.0,54.0
2014,1,15,1037.0,7.0,1352.0,2.0,WN,N646SW,48,PDX,DEN,121.0,991,10.0,37.0
2014,7,2,847.0,42.0,1041.0,51.0,WN,N422WN,1520,PDX,OAK,90.0,543,8.0,47.0
2014,5,12,1655.0,-5.0,1842.0,-18.0,VX,N361VA,755,SEA,SFO,98.0,679,16.0,55.0
2014,4,19,1236.0,-4.0,1508.0,-7.0,AS,N309AS,490,SEA,SAN,135.0,1050,12.0,36.0
2014,11,19,1812.0,-3.0,2352.0,-4.0,AS,N564AS,26,SEA,ORD,198.0,1721,18.0,12.0
2014,11,8,1653.0,-2.0,1924.0,-1.0,AS,N323AS,448,SEA,LAX,130.0,954,16.0,53.0
2014,8,3,1120.0,0.0,1415.0,2.0,AS,N305AS,656,SEA,PHX,154.0,1107,11.0,20.0
2014,10,30,811.0,21.0,1038.0,29.0,AS,N433AS,608,SEA,LAS,127.0,867,8.0,11.0
2014,11,12,2346.0,-4.0,217.0,-28.0,AS,N765AS,121,SEA,ANC,183.0,1448,23.0,46.0
2014,10,31,1314.0,89.0,1544.0,111.0,AS,N713AS,306,SEA,SFO,129.0,679,13.0,14.0
2014,1,29,2009.0,3.0,2159.0,9.0,UA,N27205,1458,PDX,SFO,90.0,550,20.0,9.0
2014,12,17,2015.0,50.0,2150.0,41.0,AS,N626AS,368,SEA,SMF,76.0,605,20.0,15.0
2014,8,11,1017.0,-3.0,1613.0,-7.0,WN,N8634A,827,SEA,MDW,216.0,1733,10.0,17.0
2014,1,13,2156.0,-9.0,607.0,-15.0,AS,N597AS,24,SEA,BOS,290.0,2496,21.0,56.0
2014,6,5,1733.0,-12.0,1945.0,-10.0,OO,N215AG,3488,PDX,BUR,111.0,817,17.0,33.0
2014,7,27,2105.0,15.0,2316.0,21.0,AS,N519AS,300,SEA,SFO,106.0,679,21.0,5.0
2014,9,26,610.0,-5.0,1523.0,65.0,US,N127UW,616,SEA,PHL,293.0,2378,6.0,10.0
2014,8,19,1845.0,-5.0,2112.0,-22.0,DL,N354NW,2642,SEA,LAX,119.0,954,18.0,45.0
2014,8,19,1222.0,5.0,1419.0,-1.0,OO,N825SK,4623,SEA,SJC,90.0,697,12.0,22.0
2014,10,29,643.0,3.0,851.0,2.0,OO,N218AG,3456,PDX,BUR,108.0,817,6.0,43.0
2014,6,5,1133.0,38.0,1247.0,32.0,WN,N793SA,1617,PDX,RNO,61.0,444,11.0,33.0
2014,12,30,1305.0,70.0,1525.0,86.0,AS,N520AS,306,SEA,SFO,117.0,679,13.0,5.0
2014,9,28,1848.0,-7.0,2044.0,-9.0,OO,N217AG,3490,SEA,FAT,98.0,748,18.0,48.0
2014,12,4,954.0,-6.0,1348.0,-17.0,HA,N395HA,29,SEA,OGG,333.0,2640,9.0,54.0
2014,2,25,555.0,-5.0,819.0,-3.0,AS,N549AS,604,SEA,LAS,121.0,867,5.0,55.0
2014,12,14,633.0,-7.0,841.0,-9.0,OO,N951SW,3456,PDX,BUR,107.0,817,6.0,33.0
2014,8,24,1646.0,21.0,1901.0,1.0,B6,N606JB,1007,SEA,LGB,121.0,965,16.0,46.0
2014,6,4,1115.0,0.0,1346.0,-3.0,AS,N461AS,488,SEA,SAN,133.0,1050,11.0,15.0
2014,6,26,2054.0,-1.0,2318.0,-6.0,B6,N590JB,907,SEA,ANC,179.0,1448,20.0,54.0
2014,6,11,1957.0,-3.0,2201.0,-2.0,AS,N778AS,326,SEA,SJC,106.0,697,19.0,57.0
2014,6,7,1823.0,-7.0,2112.0,-28.0,AS,N512AS,815,SEA,LIH,335.0,2701,18.0,23.0
